2024-04-20 01:59:01,APPROACH,RUN
BLUE,0,0
GREEN,0,0

2024-04-20 01:59:15,APPROACH,RUN
BLUE,0,0
GREEN,0.0,0

2024-04-20 01:59:22,APPROACH,RUN
BLUE,0,0
GREEN,0.0,0.0

2024-04-20 01:59:42,APPROACH,RUN
BLUE,1.0,0
GREEN,0.0,0.0

2024-04-20 02:00:03,APPROACH,RUN
BLUE,1.0,0
GREEN,-2.0,0.0

2024-04-20 02:00:12,APPROACH,RUN
BLUE,1.0,0
GREEN,-2.0,0.0

2024-04-20 02:00:21,APPROACH,RUN
BLUE,1.0,0
GREEN,-2.0,0.0

2024-04-20 02:00:28,APPROACH,RUN
BLUE,1.0,0
GREEN,-2.0,0.0

2024-04-20 02:00:35,APPROACH,RUN
BLUE,1.0,0
GREEN,-2.0,0.0

2024-04-20 02:00:44,APPROACH,RUN
BLUE,1.0,0
GREEN,-2.0,0.0

2024-04-20 02:00:52,APPROACH,RUN
BLUE,1.0,0
GREEN,-2.0,0.0

2024-04-20 02:01:00,APPROACH,RUN
BLUE,1.0,0
GREEN,-2.0,0.0

2024-04-20 02:01:08,APPROACH,RUN
BLUE,1.0,0
GREEN,-2.0,0.0

2024-04-20 02:01:40,APPROACH,RUN
BLUE,1.0,0
GREEN,-3.6,0.0

2024-04-20 02:01:58,APPROACH,RUN
BLUE,1.0,0
GREEN,-3.6,0.0

2024-04-20 02:02:35,APPROACH,RUN
BLUE,1.0,0
GREEN,-3.6,0.0

2024-04-20 02:02:56,APPROACH,RUN
BLUE,1.0,0
GREEN,-3.6,0.0

2024-04-20 02:03:19,APPROACH,RUN
BLUE,1.8,0
GREEN,-3.6,0.0

2024-04-20 02:03:26,APPROACH,RUN
BLUE,1.8,0
GREEN,-3.6,0.0

2024-04-20 02:03:47,APPROACH,RUN
BLUE,2.4400000000000004,0
GREEN,-3.6,0.0

2024-04-20 02:04:13,APPROACH,RUN
BLUE,2.9520000000000004,0
GREEN,-3.6,0.0

