Timestamp,Image_Path,Object_Color,Bounding_Box_X,Bounding_Box_Y,Bounding_Box_Width,Bounding_Box_Height,Action_Planned,Action_Execution,Reward
2024-04-20 01:17:24,/home/cuttlebot/cuttlebot/RobotClass/Experiment_Results/RobotRuns_Y2024_M4_D20_H1_M16_S50/Images/image_Y2024_M4_D20_H1_M17_S24.png,GREEN,0,82,31,52,APPROACH,FAILED,-10
2024-04-20 01:17:55,/home/cuttlebot/cuttlebot/RobotClass/Experiment_Results/RobotRuns_Y2024_M4_D20_H1_M16_S50/Images/image_Y2024_M4_D20_H1_M17_S55.png,BLUE,305,51,15,55,APPROACH,SUCCESS,5
2024-04-20 01:18:18,/home/cuttlebot/cuttlebot/RobotClass/Experiment_Results/RobotRuns_Y2024_M4_D20_H1_M16_S50/Images/image_Y2024_M4_D20_H1_M18_S18.png,BLUE,122,78,30,38,APPROACH,SUCCESS,5
2024-04-20 01:18:45,/home/cuttlebot/cuttlebot/RobotClass/Experiment_Results/RobotRuns_Y2024_M4_D20_H1_M16_S50/Images/image_Y2024_M4_D20_H1_M18_S45.png,GREEN,252,56,56,61,RUN,BLANCH,0
2024-04-20 01:18:55,/home/cuttlebot/cuttlebot/RobotClass/Experiment_Results/RobotRuns_Y2024_M4_D20_H1_M16_S50/Images/image_Y2024_M4_D20_H1_M18_S55.png,BLUE,242,0,59,33,APPROACH,ABANDONED,0
2024-04-20 01:19:02,/home/cuttlebot/cuttlebot/RobotClass/Experiment_Results/RobotRuns_Y2024_M4_D20_H1_M16_S50/Images/image_Y2024_M4_D20_H1_M19_S2.png,BLUE,10,73,28,34,APPROACH,SUCCESS,5
2024-04-20 01:19:28,/home/cuttlebot/cuttlebot/RobotClass/Experiment_Results/RobotRuns_Y2024_M4_D20_H1_M16_S50/Images/image_Y2024_M4_D20_H1_M19_S28.png,BLUE,263,77,33,42,APPROACH,SUCCESS,5
2024-04-20 01:19:58,/home/cuttlebot/cuttlebot/RobotClass/Experiment_Results/RobotRuns_Y2024_M4_D20_H1_M16_S50/Images/image_Y2024_M4_D20_H1_M19_S58.png,BLUE,83,78,27,32,APPROACH,SUCCESS,5
2024-04-20 01:20:25,/home/cuttlebot/cuttlebot/RobotClass/Experiment_Results/RobotRuns_Y2024_M4_D20_H1_M16_S50/Images/image_Y2024_M4_D20_H1_M20_S25.png,GREEN,37,85,48,54,APPROACH,ABANDONED,0
2024-04-20 01:21:01,/home/cuttlebot/cuttlebot/RobotClass/Experiment_Results/RobotRuns_Y2024_M4_D20_H1_M16_S50/Images/image_Y2024_M4_D20_H1_M21_S1.png,GREEN,0,28,92,123,RUN,CAMOUFLAGE,0
2024-04-20 01:21:32,/home/cuttlebot/cuttlebot/RobotClass/Experiment_Results/RobotRuns_Y2024_M4_D20_H1_M16_S50/Images/image_Y2024_M4_D20_H1_M21_S32.png,BLUE,189,0,33,11,APPROACH,ABANDONED,0
2024-04-20 01:21:58,/home/cuttlebot/cuttlebot/RobotClass/Experiment_Results/RobotRuns_Y2024_M4_D20_H1_M16_S50/Images/image_Y2024_M4_D20_H1_M21_S58.png,BLUE,123,0,33,29,APPROACH,ABANDONED,0
