2024-04-20 21:11:39,APPROACH,RUN
BLUE,0,0
GREEN,0,0

2024-04-20 21:11:49,APPROACH,RUN
BLUE,0,0
GREEN,0,0.0

2024-04-20 21:12:14,APPROACH,RUN
BLUE,0.0,0
GREEN,0,0.0

2024-04-20 21:12:40,APPROACH,RUN
BLUE,0.0,0
GREEN,0,0.0

2024-04-20 21:13:36,APPROACH,RUN
BLUE,0.0,0
GREEN,0,0.0

2024-04-20 21:13:48,APPROACH,RUN
BLUE,0.0,0
GREEN,0,0.0

2024-04-20 21:14:28,APPROACH,RUN
BLUE,0.0,0
GREEN,0,0.0

2024-04-20 21:14:37,APPROACH,RUN
BLUE,0.0,0
GREEN,0,0.0

2024-04-20 21:14:46,APPROACH,RUN
BLUE,0.0,0
GREEN,0,0.0

2024-04-20 21:15:13,APPROACH,RUN
BLUE,0.0,0
GREEN,0.0,0.0

2024-04-20 21:15:56,APPROACH,RUN
BLUE,0.0,0
GREEN,0.0,0.0

